Land	Code	Wahlkreis-Name	Gemeinden am 31.12.2015 (Anzahl)	Fl�che am 31.12.2015 (km�)	Bev�lkerung am 31.12.2015 - Insgesamt (in 1000)	Bev�lkerung am 31.12.2015 - Deutsche (in 1000)	Bev�lkerung am 31.12.2015 - Ausl�nder (%)	Bev�lkerungsdichte am 31.12.2015 (Einwohner je km�)	Zu- (+) bzw. Abnahme (-) der Bev�lkerung 2015 - Geburtensaldo (je 1000 Einwohner)	Zu- (+) bzw. Abnahme (-) der Bev�lkerung 2015 - Wanderungssaldo (je 1000 Einwohner)	Alter von ... bis ... Jahren am 31.12.2015 - unter 18 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 18-24 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 25-34 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 35-59 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 60-74 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 75 und mehr (%)	Zensus 2011, Bev�lkerung nach Migrationshintergrund am 09.05.2011 - ohne Migrationshintergrund (%)	Zensus 2011, Bev�lkerung nach Migrationshintergrund am 09.05.2011 - mit Migrationshintergrund (%)	Zensus 2011, Bev�lkerung nach Religionszugeh�rigkeit am 09.05.2011 - R�misch-katholische Kirche (%)	Zensus 2011, Bev�lkerung nach Religionszugeh�rigkeit am 09.05.2011 - Evangelische Kirche (%)	Zensus 2011, Bev�lkerung nach Religionszugeh�rigkeit am 09.05.2011 - Sonstige, keine, ohne Angabe (%)	Zensus 2011, Wohnungen in Wohngeb�uden am 09.05.2011 - Eigent�merquote	Baut�tigkeit und Wohnungswesen - Fertiggestellte Wohnungen 2014 (je 1000 Einwohner)	Baut�tigkeit und Wohnungswesen - Bestand an Wohnungen am 31.12.2015 (je 1000 Einwohner)	Verf�gbares Einkommen der privaten Haushalte 2014 (� je Einwohner)	Bruttoinlandsprodukt 2014 (� je Einwohner)	Kraftfahrzeugbestand am 01.01.2016 (je 1000 Einwohner)	Absolventen/Abg�nger beruflicher Schulen 2015	Absolventen/Abg�nger allgemeinbildender Schulen 2015 - insgesamt ohne Externe (je 1000 Einwohner)	ohneHauptschule	Hauptschule	MittleremAbschluss	mitAbitur	Kindertagesbetreuung: Betreute Kinder am 01.03.2016 (je 1000 Einwohner)	Unternehmensregister 2014 - Unternehmen insgesamt (je 1000 Einwohner)	Unternehmensregister 2014 - Handwerksunternehmen (je 1000 Einwohner)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - insgesamt (je 1000 Einwohner)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - Land- und Forstwirtschaft, Fischerei (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - Produzierendes Gewerbe (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - Handel, Gastgewerbe, Verkehr (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - �ffentliche und private Dienstleister (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - �brige Dienstleister und 'ohne Angabe' (%)	Empf�nger(innen) von Leistungen nach SGB II am 31.12.2016 -  insgesamt (je 1000 Einwohner)	Empf�nger(innen) von Leistungen nach SGB II am 31.12.2016 - nicht erwerbsf�hige Hilfebed�rftige (%)	Empf�nger(innen) von Leistungen nach SGB II am 31.12.2016 - Ausl�nder (%)	Arbeitslosenquote M�rz 2017 - insgesamt	Arbeitslosenquote M�rz 2017 - M�nner	Arbeitslosenquote M�rz 2017 - Frauen	Arbeitslosenquote M�rz 2017 - 15 bis unter 20 Jahre	Arbeitslosenquote M�rz 2017 - 55 bis unter 65 Jahre	Total	Total2	CDU	CDU2	SPD	SPD2	LINKE	LINKE2	GRUENE	GRUENE2	FDP	FDP2	AFD	AFD2	NDP	NDP2
Bayern	257	Ostallg�u	80	2328.9	329.2	297.5	9.6	141.4	-1.7	15.3	17.2	8.1	11.8	35.6	16.4	10.9	83.9	16.1	62.6	15.3	22.1	56.7	3.4	473.5	22927	35449	800.2	2.9	12.3	4.2	22.9	51.5	21.3	36.4	53.2	9.4	396.1	0	44.8	20.7	0	23.4	25.5	24.1	39.1	3	3.1	2.9	1.4	4.3	189889	190169			21610	23044	10153	10387	16537	16214	10627	19898	24018	25384		532
Baden	258	Stuttgart I	1	113.8	304.3	239.6	21.4	2674.7	1.5	16.5	15.3	8.7	18.6	34.5	13.4	9.5	61.4	38.6	24.5	30.5	45	33	3.1	494.4	23759	79313	539.4	6	8.8	5.6	14.3	39.5	40.5	44.4	52.5	5.1	649	0.1	20	15.2	37.6	27.1	67.2	26.6	44.5	5	5.2	4.6	2.3	5.6	159677	159985	51118	46243	20512	23350	10409	14830	47430	31283	13399	26203	10646	11455		114
Baden	259	Stuttgart II	1	93.6	319.5	235.4	26.2	3413.5	1.5	16.5	15.3	8.7	18.6	34.5	13.4	9.5	61.4	38.6	25	26.8	48.2	32.5	3.1	494.4	23759	79313	539.4	6	8.8	5.6	14.3	39.5	40.5	44.4	52.5	5.1	645.9	0.1	20	15.2	37.6	27.1	67.2	26.6	44.5	5	5.2	4.6	2.3	5.6	137837	138027	46166	40109	25469	23458	12321	12553	21850	21071	11903	19210	14345	14899		181
Baden	260	B�blingen	23	563.2	358.7	298.9	16.7	636.9	0.7	17.7	17.8	7.6	12.8	36.3	15.2	10.2	69.2	30.8	23.6	38.1	38.2	56.7	4.2	467.6	23483	58067	730.7	4.3	10.8	4.8	18.5	47.3	29.4	41.2	43.7	5.9	463.5	0.2	41.7	17	25	16.2	34.5	28.2	46	3.1	3.2	3.1	1.3	3.9	194286	194900	75323	68991	38053	30296	9715	10434	23206	24746	24867	29510	21842	22874		487
Baden	261	Esslingen	15	208.7	245.9	204.1	17	1178.2	0.4	12.3	17.1	8	12.9	36.1	15.1	10.8	73.1	26.9	25	35.8	39.1	51.3	3.3	485.1	23606	37569	713.5	3.5	10.7	3.4	20.2	45	31.4	38.9	48.2	7.2	399.6	0.4	40.3	21.8	18.7	18.9	40.1	25.4	44.6	3.5	3.7	3.4	1.7	4.2	134118	134385	53665	44748	25697	22579	7853	8361	20501	19565	11657	18512	14390	14692		290
Baden	262	N�rtingen	31	465.2	293.3	250.9	14.5	630.5	-0.4	15.8	17	8.1	12.3	36.7	15.7	10.2	72.9	27.1	21.3	43.6	35.1	57.4	3.2	473.6	23600	38616	714.4	3.5	10.7	3.4	20.1	45.1	31.3	39	48	7.2	403.9	0.4	40.4	21.5	19.1	18.7	39.9	25.6	44.6	3.5	3.7	3.3	1.6	4.2	166287	166609	65566	56105	31655	25190	7978	9132	24540	23673	16390	24922	19833	20544		373
Baden	263	G�ppingen	38	642.4	252.7	216.4	14.4	393.5	-1.9	12.2	16.9	8	11.7	36	16.2	11.1	73.1	26.9	34.3	35.1	30.6	60	2.4	473.1	22333	30841	745.1	4.3	11.4	4.8	19.3	50.6	25.3	35.1	46.6	7.8	344.3	0.2	41.7	19.6	16.5	21.9	48.3	27.8	43.3	3.9	3.8	4	1.8	4.5	135470	135948	50892	45290	29730	23924	5994	6882	16420	16749	12492	17188	19588	19956		372
Baden	264	Waiblingen	18	513.4	317.4	270.5	14.8	618.2	-0.4	12.9	17.1	7.9	11.8	36.5	15.8	10.9	75.2	24.8	23	41.5	35.5	55.3	3.3	475.2	23752	31576	722.9	4.9	10.8	4.7	15.1	53.1	27.1	38	49.6	8.2	345.7	0.5	39.5	20.5	16.2	23.3	45.5	25.8	43.9	3.4	3.7	3.2	1.4	4.1	176407	176893	64958	58372	33898	28146	8626	9881	21542	21539	23568	28617	21863	22870		403
Baden	265	Ludwigsburg	16	361.5	324.7	268.1	17.4	898.4	1.1	14.7	17.5	7.7	13.4	36.4	15	10.1	71	29	22.9	37.4	39.7	53.4	3.2	476.2	23470	41242	697.9	2.7	10.5	4.6	14.1	49.6	31.7	41.2	44.8	6.7	370.2	0.7	36.8	23.4	19.2	19.8	38.1	28.1	43.7	3.5	3.5	3.5	2	4.4	173535	173987	66430	58003	30971	28547	9487	10451	24702	24000	17691	25538	20157	19780		333
Baden	266	Neckar-Zaber	39	642.4	322.1	278.1	13.7	501.3	0.4	13.1	17.5	7.8	12	37.3	15.6	9.8	72.2	27.8	20.6	46.1	33.3	63.1	3.3	463	23329	42836	732	2	10.7	4.5	17.4	49.2	29	40.3	44.8	7.5	378.3	0.7	40.6	21.8	18.3	18.5	37.2	27.6	42.6	3.5	3.5	3.5	1.7	4.4	184382	184837	73689	60898	36327	30472	8453	9719	23092	24282	16191	27145	23215	24212		574
