Land	Code	Wahlkreis-Name	Gemeinden am 31.12.2015 (Anzahl)	Fl�che am 31.12.2015 (km�)	Bev�lkerung am 31.12.2015 - Insgesamt (in 1000)	Bev�lkerung am 31.12.2015 - Deutsche (in 1000)	Bev�lkerung am 31.12.2015 - Ausl�nder (%)	Bev�lkerungsdichte am 31.12.2015 (Einwohner je km�)	Zu- (+) bzw. Abnahme (-) der Bev�lkerung 2015 - Geburtensaldo (je 1000 Einwohner)	Zu- (+) bzw. Abnahme (-) der Bev�lkerung 2015 - Wanderungssaldo (je 1000 Einwohner)	Alter von ... bis ... Jahren am 31.12.2015 - unter 18 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 18-24 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 25-34 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 35-59 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 60-74 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 75 und mehr (%)	Zensus 2011, Bev�lkerung nach Migrationshintergrund am 09.05.2011 - ohne Migrationshintergrund (%)	Zensus 2011, Bev�lkerung nach Migrationshintergrund am 09.05.2011 - mit Migrationshintergrund (%)	Zensus 2011, Bev�lkerung nach Religionszugeh�rigkeit am 09.05.2011 - R�misch-katholische Kirche (%)	Zensus 2011, Bev�lkerung nach Religionszugeh�rigkeit am 09.05.2011 - Evangelische Kirche (%)	Zensus 2011, Bev�lkerung nach Religionszugeh�rigkeit am 09.05.2011 - Sonstige, keine, ohne Angabe (%)	Zensus 2011, Wohnungen in Wohngeb�uden am 09.05.2011 - Eigent�merquote	Baut�tigkeit und Wohnungswesen - Fertiggestellte Wohnungen 2014 (je 1000 Einwohner)	Baut�tigkeit und Wohnungswesen - Bestand an Wohnungen am 31.12.2015 (je 1000 Einwohner)	Verf�gbares Einkommen der privaten Haushalte 2014 (� je Einwohner)	Bruttoinlandsprodukt 2014 (� je Einwohner)	Kraftfahrzeugbestand am 01.01.2016 (je 1000 Einwohner)	Absolventen/Abg�nger beruflicher Schulen 2015	Absolventen/Abg�nger allgemeinbildender Schulen 2015 - insgesamt ohne Externe (je 1000 Einwohner)	ohneHauptschule	Hauptschule	MittleremAbschluss	mitAbitur	Kindertagesbetreuung: Betreute Kinder am 01.03.2016 (je 1000 Einwohner)	Unternehmensregister 2014 - Unternehmen insgesamt (je 1000 Einwohner)	Unternehmensregister 2014 - Handwerksunternehmen (je 1000 Einwohner)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - insgesamt (je 1000 Einwohner)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - Land- und Forstwirtschaft, Fischerei (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - Produzierendes Gewerbe (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - Handel, Gastgewerbe, Verkehr (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - �ffentliche und private Dienstleister (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - �brige Dienstleister und 'ohne Angabe' (%)	Empf�nger(innen) von Leistungen nach SGB II am 31.12.2016 -  insgesamt (je 1000 Einwohner)	Empf�nger(innen) von Leistungen nach SGB II am 31.12.2016 - nicht erwerbsf�hige Hilfebed�rftige (%)	Empf�nger(innen) von Leistungen nach SGB II am 31.12.2016 - Ausl�nder (%)	Arbeitslosenquote M�rz 2017 - insgesamt	Arbeitslosenquote M�rz 2017 - M�nner	Arbeitslosenquote M�rz 2017 - Frauen	Arbeitslosenquote M�rz 2017 - 15 bis unter 20 Jahre	Arbeitslosenquote M�rz 2017 - 55 bis unter 65 Jahre	Total	Total2	CDU	CDU2	SPD	SPD2	LINKE	LINKE2	GRUENE	GRUENE2	FDP	FDP2	AFD	AFD2	NDP	NDP2
Baden	277	Rhein-Neckar	34	724.9	268.9	239	11.1	371	-0.9	14.6	17.2	8	11.6	36.9	16.1	10.1	78.9	21.1	35.2	35.7	29.1	58.1	2.9	469.6	23240	30418	721.9	3.6	9.1	5	16.3	47	31.8	41.4	45.9	7.2	306.4	0.4	29.1	22.2	26.3	22	45.8	25.8	35.4	4.1	4.4	3.8	2.1	5.1	154416	154654	57788	51797	36886	28486	8010	9738	14792	17687	12571	18933	20177	20942		534
Baden	278	Bruchsal � Schwetzingen	20	506.6	266.8	235.3	11.8	526.6	-1.7	14.4	16.7	7.6	12.3	37.2	16	10.2	79.1	20.9	46.9	24.8	28.3	57.5	2.4	467.8	22879	32126	723.1	3.4	10	4.4	16.6	49.8	29.2	40.5	45.4	8	327.9	0.4	33.5	21.4	24.3	20.4	38.6	26.2	36.3	3.6	3.8	3.4	1.8	4.5	152358	152690	63166	53147	29684	26560	7016	8674	12641	15500	10255	18180	21960	22794		470
Baden	279	Pforzheim	29	671.7	318.3	267.4	16	473.9	-1.2	17.8	17.3	8.4	12.3	35.5	15.7	10.8	68.9	31.1	23.3	42.8	33.9	54.6	2.7	475.9	22911	32939	676.2	4	11	4.4	18	47.6	30	39.6	49	7.9	369	0.2	42.8	21.4	14.4	21.2	55	30.4	45	4.3	4.4	4.2	2	4.1	165973	166080	60476	54364	31611	27101	7730	8952	16016	17869	19760	22643	26172	27107		446
Baden	280	Calw	41	1668.2	271.6	239.9	11.7	162.8	-1.9	15.5	17.5	8.3	11.4	36.4	15.8	10.7	77	23	24.2	47.3	28.5	61.7	2.7	483.6	22863	29976	767.8	5.2	11.8	4.6	22	51.5	21.9	35.6	45.6	9.1	334	0.4	40.7	23.1	10.3	25.5	33.5	24.4	34.8	3.4	3.5	3.4	1.3	4.6	151724	151605	65676	56330	25601	21832	6832	7759	13284	14989	14154	21646	21431	22715		496
Baden	281	Freiburg	20	452.9	313.8	268.9	14.3	692.9	1.8	16.3	16.4	10.9	16.9	33.3	13.7	8.8	74.7	25.3	40.6	25.2	34.2	36.5	3.6	489.4	21003	41386	536.1	6.7	11	5.1	12.1	42.3	40.5	46.5	50.5	6.4	473.2	0.3	17.5	23.2	18.4	40.5	62.8	27.4	34.8	4.8	5.4	4.1	1.6	5.3	179374	179535	50256	50423	40647	31452	13172	20168	46115	38002	9546	16725	12984	14103		261
Baden	282	L�rrach � M�llheim	48	1155.1	318.7	278.3	12.7	275.9	-1.7	17.9	17.5	7.9	11.8	36.3	15.7	10.7	77.9	22.1	34	34.1	31.9	53.8	3.8	472.3	23142	30722	713.9	2.6	10.8	4.4	16.8	47.9	30.8	39.7	43.3	7.6	335	0.8	38.2	25	12.7	23.3	36.9	26.4	33.9	3.3	3.7	2.9	1.2	3.7	175517	175704	69148	60513	36986	31249	8854	10898	26244	27014	15271	19449	16854	18459		419
Baden	283	Emmendingen � Lahr	41	1204.5	289.2	263.2	9	240.1	-1	15.3	17.7	8	11.7	36.5	15.7	10.4	81.9	18.1	47.8	30.6	21.6	55.9	4.4	457.8	21513	31512	744.8	4.4	11.3	4.5	21.3	48.8	25.4	40.9	46.7	8.4	356.8	0.6	41.8	21	11.6	24.9	38.4	28.6	36.5	3.2	3.3	3.2	1	4	166356	166444	62476	59784	39472	29738	8691	9588	18537	22806	14275	17626	18027	19139		363
Baden	284	Offenburg	29	1094.7	272.3	246.2	9.6	248.7	-1.6	11.4	17.1	8	11.8	36	16.2	11	78.8	21.2	54.1	24.6	21.3	55.8	3.2	466.4	21662	36409	758.9	4.7	12.4	4.3	19.2	48.1	28.4	40	45.6	7.6	412.4	0.5	39.3	22.9	12.7	24.6	43.2	30.8	33.4	3.5	3.4	3.6	1.1	4.4	153606	153649	73935	57033	26532	25406	8264	8411	19383	21220	9593	16940	15899	17800		358
Baden	285	Rottweil � Tuttlingen	56	1503.7	274.1	242.7	11.4	182.3	-1.2	14.3	18.1	8.1	12	35.6	15.3	10.8	73.6	26.4	48.7	27.7	23.7	64.4	2.8	470.8	23526	40725	772.5	4.8	12	4.1	21	49.8	25.1	37.7	48.5	8.8	430.5	0.2	57.7	15.5	9.3	17.2	31.8	29.7	42.3	2.9	2.8	2.9	1.2	3.2	150030	150050	64558	57060	23855	21900	5825	7141	14299	15329	16255	20328	19543	20942		527
Baden	286	Schwarzwald-Baar	25	1266.8	230.3	200.3	13	181.8	-2.5	18	16.8	8.2	12.2	34.7	16.3	11.8	74	26	46.9	26.6	26.5	54.7	3.2	494.9	22805	35061	722	6	11.6	5.2	19.9	50.5	24.5	37.4	47.2	7.4	407.4	0.2	43.6	19.5	12.8	23.9	38.7	29.7	38.1	3.4	3.5	3.3	1.8	4.1	123690	123729	58149	46812	20672	19337	5347	6608	12085	15113	10438	15124	14069	15350	745	590
Baden	287	Konstanz	25	818	280.3	243.1	13.3	342.7	-1.1	17	16.4	9.9	12.7	34.6	15.5	10.8	76.2	23.8	47.8	20.4	31.8	46.5	3.9	497.9	22339	31701	662.5	5.2	10.5	4.1	20.2	46.2	29.5	38.7	47.8	6.9	355.5	0.9	28	25.6	16.9	28.6	43.2	28.6	36.9	3.7	4.1	3.3	1.6	4.3	157109	157383	70355	52194	26396	24529	11003	11306	21052	25202	11425	20758	15006	16215		337
Baden	288	Waldshut	50	1861.4	245.8	215.6	12.3	132.1	-2.1	16.9	17.8	8	11.5	35.5	16.3	11	79	21	56.6	18.7	24.7	55.5	2.7	487.9	22429	28180	752.1	3.5	11.7	4	23	49.3	23.7	39.7	44.8	8.4	317.1	0.7	37.1	26.6	10.7	24.8	32.4	28.1	38	3.4	4	2.7	1.3	3.7	135059	135129	56528	53066	32522	22122	6767	7369	16030	18842	8402	14647	12388	13299		305
Baden	289	Reutlingen	26	1092.7	282.1	242.8	13.9	258.2	-1.1	15.6	17.2	8.4	12.3	36.1	15.3	10.8	74	26	22.5	46.4	31.1	59.9	3.5	467.6	23126	37185	740.6	5.2	11.3	4.1	22	44.7	29.2	38.5	49.3	8.8	394.7	0.5	40	18.7	16.8	24	44.6	26.6	43.8	3.7	4	3.4	1.8	3.9	155803	156059	63494	53873	23397	23321	9711	9543	22309	21695	15533	21425	18702	20171		362
Baden	290	T�bingen	21	789	270.9	238	12.2	343.4	1.1	12.8	17	10.8	14.5	34.6	14.1	9	77.6	22.4	34.4	35.8	29.8	56.9	4.6	455.7	21953	30569	666.4	4.1	10.9	4.1	18.3	40.8	36.7	40.5	43.3	7.5	350.3	0.2	30.7	18.1	13	37.9	35.7	27	40.2	3.1	3.5	2.7	1.3	3.5	158186	158410	56446	48828	27325	24865	13862	15096	30197	28521	12504	18718	13684	15887		326
Baden	291	Ulm	56	1477.4	314.7	271.3	13.8	213	0.1	15.4	17.6	9.1	13.7	35.2	14.6	9.7	74.7	25.3	40.6	30.3	29	54.4	4	467.3	22957	43774	716.7	7	12.3	5.9	18.6	46	29.5	38.1	45.9	7.2	464.1	0.4	31.6	22.4	20.8	24.7	34.8	28.6	44.4	3.3	3.6	3.1	1.5	4.4	175444	175863	74849	64988	35456	27889	8105	9976	20990	24160	14173	20277	18734	20432		499
Baden	292	Biberach	49	1748.3	222.8	203.6	8.6	127.4	0.2	18.3	18.9	8.5	12.3	36.3	14.6	9.5	81	19	65.5	16	18.5	65.1	5.6	452.6	21938	44648	802.1	4.9	12.7	5.7	21.5	50.2	22.6	39.9	43.5	8.1	414.5	0.7	52.5	16.2	10.7	19.8	26.6	28.3	39.2	2.6	2.7	2.4	1.2	3	130082	130275	57837	56162	22034	16557	4907	5997	17589	14729	9775	14321	14640	16236		384
Baden	293	Bodensee	27	860.7	233.3	206.5	11.5	271.1	-0.9	13.6	16.9	8	11.7	35.7	16.9	10.8	77.6	22.4	51	19.1	29.8	52.8	4.7	491.8	23541	43496	775.6	6.1	11.5	6.2	16.1	50.2	27.5	37.8	50.3	7.8	417	0.9	45.1	18.1	12.4	23.4	29.4	27.5	37	3.1	3.1	3.1	0.9	4	135794	135951	56165	50428	24451	19321	7185	8316	18811	20015	11999	17954	14079	14164		265
Baden	294	Ravensburg	35	1293.3	250.5	226.5	9.6	193.7	-0.8	14.5	17.8	8.8	12.5	35.7	15.3	9.8	79.9	20.1	60.9	16.8	22.4	56	4.4	457	22091	37379	769.3	6.6	13.8	8.8	16.6	50.2	24.3	40.3	51.7	8.4	404.5	0.7	36.3	19.7	14.7	28.7	32.3	26.4	33.7	3	3.4	2.6	0.9	3.4	144657	144787	55758	56264	17958	19398	7860	8889	29216	21770	14672	16441	13668	14901		274
Baden	295	Zollernalb � Sigmaringen	40	1656.4	249.1	221	11.3	150.4	-2.4	21.9	17.1	8.7	11.8	35.4	15.7	11.3	77.7	22.3	49.8	29	21.2	66.4	2.3	467.3	22823	32676	795.6	4.9	12.4	5.1	19.9	51.6	23.4	34.1	48	10.1	357.6	0.6	46.1	20.4	9.3	23.4	32.8	25.3	29.1	3.4	3.4	3.4	1	4.2	137194	137727	61694	52284	19716	19446	6450	7061	17489	15798	12695	18394	18609	18814		519
Saarland	296	Saarbr�cken	6	325.3	269.8	235	12.9	829.3	-5	11.6	14.4	8.5	13.7	34.4	17.5	11.5	80	20	49.9	23.7	26.5	46.3	1.3	546.2	18923	43345	660.1	3.8	9.4	5.5	24.7	30.7	39.1	36.8	44.1	6.8	459.7	0.1	24.7	19.7	25.6	29.8	137.1	25.3	36.2	9.4	10.2	8.5	6.2	8.3	145298	145430	45664	41394	46688	38322	19262	21669	8782	11748	7672	11753	12950	14042	947	933
Saarland	297	Saarlouis	18	891.4	265.5	240.8	9.3	297.8	-5.7	14.7	14.9	7.4	11.3	36.6	17.8	12	83.9	16.1	76.5	8.3	15.3	71.5	2.6	491	18991	29236	772	4.2	9.7	3.8	24.4	34.3	37.5	35.1	38.4	7.7	330.4	0.4	37.4	23.8	13.8	24.6	65.2	25.7	39.3	5.5	6	4.9	2.5	5.5	158015	157605	60102	52981	50672	42476	17142	20320	5532	8598	6069	12059	14224	15506		748
Saarland	298	St. Wendel	16	801.7	216.7	205.5	5.1	270.3	-7	10.1	14	7.2	10.8	36.9	18.4	12.6	86.9	13.1	68.8	18	13.3	74.3	1	494.6	21924	26357	761.8	4.3	9.5	5.2	24.6	35.6	34.7	33	35.8	7.4	317	0.3	35	20.5	14.4	29.9	78	26.1	37.4	6.1	6.5	5.6	4	5.9	138769	138698	57987	50660	42129	38368	13584	15686	4674	6662	6517	9569	11646	12627		646
Saarland	299	Homburg	12	550.3	243.7	223	8.5	442.9	-6.3	13.2	14.1	7.7	11.2	35.8	18.2	12.9	84.5	15.5	53.5	26.9	19.6	63.7	1.6	517.1	20506	34878	743.6	4.5	8.9	4.4	23.9	34.5	37.2	34.4	40.5	7.5	412.8	0.2	36.1	19.6	16.3	27.8	87.8	25.6	38.5	6.9	7.4	6.3	4.6	6.9	143321	143525	48102	44538	45022	39729	15724	17773	7128	8109	7369	11096	15767	16745		779
